"global_step","train-dgx_1nodo_semifreezed_0.000001_full - _step","train-dgx_1nodo_semifreezed_0.000001_full - _step__MIN","train-dgx_1nodo_semifreezed_0.000001_full - _step__MAX","train-dgx_1nodo_semifreezed_0.000001_full - losses/inner_action_loss","train-dgx_1nodo_semifreezed_0.000001_full - losses/inner_action_loss__MIN","train-dgx_1nodo_semifreezed_0.000001_full - losses/inner_action_loss__MAX","train-dgx_1nodo_semifreezed_0.00001_full - _step","train-dgx_1nodo_semifreezed_0.00001_full - _step__MIN","train-dgx_1nodo_semifreezed_0.00001_full - _step__MAX","train-dgx_1nodo_semifreezed_0.00001_full - losses/inner_action_loss","train-dgx_1nodo_semifreezed_0.00001_full - losses/inner_action_loss__MIN","train-dgx_1nodo_semifreezed_0.00001_full - losses/inner_action_loss__MAX","train-dgx_1nodo_semifreezed_0.0001_full - _step","train-dgx_1nodo_semifreezed_0.0001_full - _step__MIN","train-dgx_1nodo_semifreezed_0.0001_full - _step__MAX","train-dgx_1nodo_semifreezed_0.0001_full - losses/inner_action_loss","train-dgx_1nodo_semifreezed_0.0001_full - losses/inner_action_loss__MIN","train-dgx_1nodo_semifreezed_0.0001_full - losses/inner_action_loss__MAX","train-dgx_1nodo_freezed_full - _step","train-dgx_1nodo_freezed_full - _step__MIN","train-dgx_1nodo_freezed_full - _step__MAX","train-dgx_1nodo_freezed_full - losses/inner_action_loss","train-dgx_1nodo_freezed_full - losses/inner_action_loss__MIN","train-dgx_1nodo_freezed_full - losses/inner_action_loss__MAX"
"194560","","","","","","","","","","","","","","","","","","","185","185","185","0.3273054","0.3273054","0.3273054"
"195840","61755","61755","61755","0.71977264","0.71977264","0.71977264","31135","335","61935","0.498908835","0.42414597","0.5736717","","","","","","","","","","","",""
"201600","61765","61765","61765","0.76190275","0.76190275","0.76190275","31145","345","61945","0.47838927","0.402245","0.55453354","345","345","345","0.52189755","0.52189755","0.52189755","","","","","",""
"207360","61775","61775","61775","0.34720212","0.34720212","0.34720212","","","","","","","","","","","","","","","","","",""
"213120","","","","","","","365","365","365","0.3245775","0.3245775","0.3245775","","","","","","","","","","","",""
"218880","","","","","","","375","375","375","0.38301876","0.38301876","0.38301876","62185","62185","62185","0.45307568","0.45307568","0.45307568","","","","","",""
"224640","31095","385","61805","0.6422268499999999","0.5419086","0.7425451","","","","","","","385","385","385","0.2756031","0.2756031","0.2756031","","","","","",""
"230400","395","395","395","0.6235911","0.6235911","0.6235911","61995","61995","61995","0.37020233","0.37020233","0.37020233","62205","62205","62205","0.44570786","0.44570786","0.44570786","","","","","",""
"236160","","","","","","","405","405","405","0.5480573","0.5480573","0.5480573","","","","","","","","","","","",""
"241920","61835","61835","61835","0.6554244","0.6554244","0.6554244","415","415","415","0.45442128","0.45442128","0.45442128","415","415","415","0.69534785","0.69534785","0.69534785","","","","","",""
"245760","","","","","","","","","","","","","","","","","","","235","235","235","0.4965689","0.4965689","0.4965689"
