"global_step","train-good_full_from_scratch_lr_3e5_beta_3 - _step","train-good_full_from_scratch_lr_3e5_beta_3 - _step__MIN","train-good_full_from_scratch_lr_3e5_beta_3 - _step__MAX","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss__MIN","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss__MAX","train-good_full_dataset_lr_3e6 - _step","train-good_full_dataset_lr_3e6 - _step__MIN","train-good_full_dataset_lr_3e6 - _step__MAX","train-good_full_dataset_lr_3e6 - losses/vf_loss","train-good_full_dataset_lr_3e6 - losses/vf_loss__MIN","train-good_full_dataset_lr_3e6 - losses/vf_loss__MAX","train-good_full_dataset_lr_3e4 - _step","train-good_full_dataset_lr_3e4 - _step__MIN","train-good_full_dataset_lr_3e4 - _step__MAX","train-good_full_dataset_lr_3e4 - losses/vf_loss","train-good_full_dataset_lr_3e4 - losses/vf_loss__MIN","train-good_full_dataset_lr_3e4 - losses/vf_loss__MAX"
"116744","","","","","","","123","123","123","0.10080557316541672","0.10080557316541672","0.10080557316541672","","","","","",""
"118724","","","","","","","125","125","125","0.11710751056671143","0.11710751056671143","0.11710751056671143","","","","","",""
"120680","","","","","","","","","","","","","120","120","120","0.046491071581840515","0.046491071581840515","0.046491071581840515"
"121648","","","","","","","","","","","","","121","121","121","0.031242195516824722","0.031242195516824722","0.031242195516824722"
"123648","","","","","","","","","","","","","123","123","123","0.03964896500110626","0.03964896500110626","0.03964896500110626"
"123800","","","","","","","130","130","130","0.09799842536449432","0.09799842536449432","0.09799842536449432","","","","","",""
"125660","","","","","","","","","","","","","125","125","125","0.04466165229678154","0.04466165229678154","0.04466165229678154"
"130660","","","","","","","","","","","","","130","130","130","0.05779193341732025","0.05779193341732025","0.05779193341732025"
"130988","","","","","","","138","138","138","0.11265912652015686","0.11265912652015686","0.11265912652015686","","","","","",""
"131848","","","","","","","139","139","139","0.1013350635766983","0.1013350635766983","0.1013350635766983","","","","","",""
"132096","128","128","128","0.0010911972494795918","0.0010911972494795918","0.0010911972494795918","","","","","","","","","","","",""
"133580","","","","","","","141","141","141","0.11294019967317581","0.11294019967317581","0.11294019967317581","","","","","",""
"135508","","","","","","","143","143","143","0.10418301820755005","0.10418301820755005","0.10418301820755005","","","","","",""
"137364","","","","","","","145","145","145","0.11382272094488144","0.11382272094488144","0.11382272094488144","","","","","",""
"138432","","","","","","","","","","","","","138","138","138","0.04925084486603737","0.04925084486603737","0.04925084486603737"
"139112","","","","","","","147","147","147","0.10642486810684204","0.10642486810684204","0.10642486810684204","","","","","",""
"139432","","","","","","","","","","","","","139","139","139","0.03717462718486786","0.03717462718486786","0.03717462718486786"
"140860","","","","","","","149","149","149","0.09238862991333008","0.09238862991333008","0.09238862991333008","","","","","",""
"141456","","","","","","","","","","","","","141","141","141","0.043763697147369385","0.043763697147369385","0.043763697147369385"
