"global_step","train-good_full_from_scratch_lr_3e5_beta_3 - _step","train-good_full_from_scratch_lr_3e5_beta_3 - _step__MIN","train-good_full_from_scratch_lr_3e5_beta_3 - _step__MAX","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss__MIN","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss__MAX","train-good_full_dataset_lr_3e6 - _step","train-good_full_dataset_lr_3e6 - _step__MIN","train-good_full_dataset_lr_3e6 - _step__MAX","train-good_full_dataset_lr_3e6 - losses/vf_loss","train-good_full_dataset_lr_3e6 - losses/vf_loss__MIN","train-good_full_dataset_lr_3e6 - losses/vf_loss__MAX","train-good_full_dataset_lr_3e4 - _step","train-good_full_dataset_lr_3e4 - _step__MIN","train-good_full_dataset_lr_3e4 - _step__MAX","train-good_full_dataset_lr_3e4 - losses/vf_loss","train-good_full_dataset_lr_3e4 - losses/vf_loss__MIN","train-good_full_dataset_lr_3e4 - losses/vf_loss__MAX"
"17093632","16692","16692","16692","0.08597227931022644","0.08597227931022644","0.08597227931022644","","","","","","","","","","","",""
"17096068","","","","","","","17905","17905","17905","0.12761178612709045","0.12761178612709045","0.12761178612709045","","","","","",""
"17098308","","","","","","","","","","","","","17789","17789","17789","0.23357167840003967","0.23357167840003967","0.23357167840003967"
"17099776","16698","16698","16698","0.09023381024599075","0.09023381024599075","0.09023381024599075","","","","","","","","","","","",""
"17101916","","","","","","","17911","17911","17911","0.16480287909507751","0.16480287909507751","0.16480287909507751","","","","","",""
"17103352","","","","","","","","","","","","","17794","17794","17794","0.16833370923995972","0.16833370923995972","0.16833370923995972"
"17103864","","","","","","","17913","17913","17913","0.08795349299907684","0.08795349299907684","0.08795349299907684","","","","","",""
"17105344","","","","","","","","","","","","","17796","17796","17796","0.1739969253540039","0.1739969253540039","0.1739969253540039"
"17106548","","","","","","","17916","17916","17916","0.08808564394712448","0.08808564394712448","0.08808564394712448","","","","","",""
"17107456","","","","","","","17917","17917","17917","0.10570221394300461","0.10570221394300461","0.10570221394300461","","","","","",""
"17108360","","","","","","","17918","17918","17918","0.06743671000003815","0.06743671000003815","0.06743671000003815","","","","","",""
"17109068","","","","","","","","","","","","","17800","17800","17800","0.11039888858795166","0.11039888858795166","0.11039888858795166"
"17110036","","","","","","","","","","","","","17801","17801","17801","0.13231635093688965","0.13231635093688965","0.13231635093688965"
"17112072","","","","","","","","","","","","","17803","17803","17803","0.25416746735572815","0.25416746735572815","0.25416746735572815"
"17113032","","","","","","","17923","17923","17923","0.1448056399822235","0.1448056399822235","0.1448056399822235","","","","","",""
"17115724","","","","","","","17926","17926","17926","0.18839678168296814","0.18839678168296814","0.18839678168296814","","","","","",""
"17119332","","","","","","","17930","17930","17930","0.10954958945512772","0.10954958945512772","0.10954958945512772","","","","","",""
"17120036","","","","","","","","","","","","","17811","17811","17811","0.21021035313606262","0.21021035313606262","0.21021035313606262"
"17122304","16720","16720","16720","0.09566503018140793","0.09566503018140793","0.09566503018140793","","","","","","","","","","","",""
"17123076","","","","","","","","","","","","","17814","17814","17814","0.058240264654159546","0.058240264654159546","0.058240264654159546"
"17124084","","","","","","","","","","","","","17815","17815","17815","0.19613084197044373","0.19613084197044373","0.19613084197044373"
"17126108","","","","","","","","","","","","","17817","17817","17817","0.14904896914958954","0.14904896914958954","0.14904896914958954"
"17126400","16724","16724","16724","0.07870997488498688","0.07870997488498688","0.07870997488498688","","","","","","","","","","","",""
"17131076","","","","","","","","","","","","","17822","17822","17822","0.1517980843782425","0.1517980843782425","0.1517980843782425"
"17132096","","","","","","","","","","","","","17823","17823","17823","0.1493491679430008","0.1493491679430008","0.1493491679430008"
"17133568","16731","16731","16731","0.13489897549152374","0.13489897549152374","0.13489897549152374","","","","","","","","","","","",""
"17137960","","","","","","","","","","","","","17829","17829","17829","0.21053741872310638","0.21053741872310638","0.21053741872310638"
"17139276","","","","","","","17950","17950","17950","0.19660863280296326","0.19660863280296326","0.19660863280296326","","","","","",""
"17139712","16737","16737","16737","0.07693583518266678","0.07693583518266678","0.07693583518266678","","","","","","","","","","","",""
"17145104","","","","","","","17956","17956","17956","0.13098877668380737","0.13098877668380737","0.13098877668380737","","","","","",""
"17145820","","","","","","","","","","","","","17837","17837","17837","0.21071463823318481","0.21071463823318481","0.21071463823318481"
"17146880","16744","16744","16744","0.08754117786884308","0.08754117786884308","0.08754117786884308","","","","","","","","","","","",""
"17147816","","","","","","","","","","","","","17839","17839","17839","0.15048032999038696","0.15048032999038696","0.15048032999038696"
"17149800","","","","","","","","","","","","","17841","17841","17841","0.16800720989704132","0.16800720989704132","0.16800720989704132"
"17154048","16751","16751","16751","0.17621028423309326","0.17621028423309326","0.17621028423309326","","","","","","","","","","","",""
"17154680","","","","","","","","","","","","","17846","17846","17846","0.20285740494728088","0.20285740494728088","0.20285740494728088"
"17155160","","","","","","","17966","17966","17966","0.13520559668540955","0.13520559668540955","0.13520559668540955","","","","","",""
"17155704","","","","","","","","","","","","","17847","17847","17847","0.1260996311903","0.1260996311903","0.1260996311903"
"17156180","","","","","","","17967","17967","17967","0.12548358738422394","0.12548358738422394","0.12548358738422394","","","","","",""
"17170696","","","","","","","","","","","","","17862","17862","17862","0.21877920627593994","0.21877920627593994","0.21877920627593994"
"17175520","","","","","","","17987","17987","17987","0.14440128207206726","0.14440128207206726","0.14440128207206726","","","","","",""
"17176540","","","","","","","17988","17988","17988","0.1102130264043808","0.1102130264043808","0.1102130264043808","","","","","",""
"17178528","","","","","","","17990","17990","17990","0.07842724770307541","0.07842724770307541","0.07842724770307541","","","","","",""
"17182564","","","","","","","","","","","","","17874","17874","17874","0.21115249395370483","0.21115249395370483","0.21115249395370483"
"17183424","","","","","","","17995","17995","17995","0.16022665798664093","0.16022665798664093","0.16022665798664093","","","","","",""
"17184324","","","","","","","17996","17996","17996","0.17234817147254944","0.17234817147254944","0.17234817147254944","","","","","",""
"17184580","","","","","","","","","","","","","17876","17876","17876","0.16754251718521118","0.16754251718521118","0.16754251718521118"
"17185604","","","","","","","","","","","","","17877","17877","17877","0.2083117514848709","0.2083117514848709","0.2083117514848709"
"17188024","","","","","","","18000","18000","18000","0.12995043396949768","0.12995043396949768","0.12995043396949768","","","","","",""
"17188580","","","","","","","","","","","","","17880","17880","17880","0.12422448396682739","0.12422448396682739","0.12422448396682739"
"17189888","16786","16786","16786","0.08158737421035767","0.08158737421035767","0.08158737421035767","","","","","","","","","","","",""
"17191036","","","","","","","18003","18003","18003","0.13752539455890656","0.13752539455890656","0.13752539455890656","","","","","",""
"17193860","","","","","","","18006","18006","18006","0.5064386129379272","0.5064386129379272","0.5064386129379272","","","","","",""
"17196384","","","","","","","","","","","","","17888","17888","17888","0.16011661291122437","0.16011661291122437","0.16011661291122437"
"17198832","","","","","","","18011","18011","18011","0.13301502168178558","0.13301502168178558","0.13301502168178558","","","","","",""
"17203108","","","","","","","","","","","","","17895","17895","17895","0.2310158759355545","0.2310158759355545","0.2310158759355545"
"17204068","","","","","","","","","","","","","17896","17896","17896","0.17045456171035767","0.17045456171035767","0.17045456171035767"
"17205700","","","","","","","18018","18018","18018","0.06901970505714417","0.06901970505714417","0.06901970505714417","","","","","",""
"17206724","","","","","","","18019","18019","18019","0.09572777897119522","0.09572777897119522","0.09572777897119522","","","","","",""
"17206868","","","","","","","","","","","","","17899","17899","17899","0.12223480641841888","0.12223480641841888","0.12223480641841888"
"17207828","","","","","","","","","","","","","17900","17900","17900","0.19359703361988068","0.19359703361988068","0.19359703361988068"
"17208320","16804","16804","16804","0.09417100250720978","0.09417100250720978","0.09417100250720978","","","","","","","","","","","",""
"17209344","16805","16805","16805","0.10061315447092056","0.10061315447092056","0.10061315447092056","","","","","","","","","","","",""
"17211392","16807","16807","16807","0.07425512373447418","0.07425512373447418","0.07425512373447418","","","","","","","","","","","",""
"17212792","","","","","","","","","","","","","17905","17905","17905","0.07126151025295258","0.07126151025295258","0.07126151025295258"
"17218644","","","","","","","","","","","","","17911","17911","17911","0.1527508944272995","0.1527508944272995","0.1527508944272995"
"17220576","","","","","","","","","","","","","17913","17913","17913","0.1531793624162674","0.1531793624162674","0.1531793624162674"
"17223564","","","","","","","","","","","","","17916","17916","17916","0.16298770904541016","0.16298770904541016","0.16298770904541016"
"17224576","","","","","","","","","","","","","17917","17917","17917","0.1468152552843094","0.1468152552843094","0.1468152552843094"
"17225596","","","","","","","","","","","","","17918","17918","17918","0.16277626156806946","0.16277626156806946","0.16277626156806946"
"17227612","","","","","","","","","","","","","17920","17920","17920","0.1528710424900055","0.1528710424900055","0.1528710424900055"
"17230180","","","","","","","18043","18043","18043","0.09109468013048172","0.09109468013048172","0.09109468013048172","","","","","",""
"17230620","","","","","","","","","","","","","17923","17923","17923","0.13300447165966034","0.13300447165966034","0.13300447165966034"
"17231616","","","","","","","","","","","","","17924","17924","17924","0.14165304601192474","0.14165304601192474","0.14165304601192474"
"17232896","16828","16828","16828","0.1010093241930008","0.1010093241930008","0.1010093241930008","","","","","","","","","","","",""
"17233168","","","","","","","18046","18046","18046","0.15665298700332642","0.15665298700332642","0.15665298700332642","","","","","",""
"17233648","","","","","","","","","","","","","17926","17926","17926","0.17720067501068115","0.17720067501068115","0.17720067501068115"
"17236192","","","","","","","18049","18049","18049","0.16551704704761505","0.16551704704761505","0.16551704704761505","","","","","",""
"17237208","","","","","","","18050","18050","18050","0.12578615546226501","0.12578615546226501","0.12578615546226501","","","","","",""
"17237680","","","","","","","","","","","","","17930","17930","17930","0.19538134336471558","0.19538134336471558","0.19538134336471558"
"17241088","16836","16836","16836","0.12734456360340118","0.12734456360340118","0.12734456360340118","","","","","","","","","","","",""
"17243136","16838","16838","16838","0.19266650080680847","0.19266650080680847","0.19266650080680847","","","","","","","","","","","",""
"17244712","","","","","","","","","","","","","17937","17937","17937","0.23817762732505798","0.23817762732505798","0.23817762732505798"
"17246208","16841","16841","16841","0.1384422481060028","0.1384422481060028","0.1384422481060028","","","","","","","","","","","",""
"17249028","","","","","","","18062","18062","18062","0.12463273108005524","0.12463273108005524","0.12463273108005524","","","","","",""
"17249280","16844","16844","16844","0.1565125584602356","0.1565125584602356","0.1565125584602356","","","","","","","","","","","",""
"17252060","","","","","","","18065","18065","18065","0.1133095920085907","0.1133095920085907","0.1133095920085907","","","","","",""
"17253896","","","","","","","18067","18067","18067","0.22830265760421753","0.22830265760421753","0.22830265760421753","","","","","",""
"17256688","","","","","","","18070","18070","18070","0.06341242790222168","0.06341242790222168","0.06341242790222168","","","","","",""
"17257832","","","","","","","","","","","","","17950","17950","17950","0.15058322250843048","0.15058322250843048","0.15058322250843048"
"17258856","","","","","","","","","","","","","17951","17951","17951","0.21121877431869507","0.21121877431869507","0.21121877431869507"
"17259460","","","","","","","18073","18073","18073","0.09242004156112671","0.09242004156112671","0.09242004156112671","","","","","",""
"17262844","","","","","","","","","","","","","17955","17955","17955","0.13198959827423096","0.13198959827423096","0.13198959827423096"
"17263824","","","","","","","","","","","","","17956","17956","17956","0.10703310370445251","0.10703310370445251","0.10703310370445251"
"17264408","","","","","","","18078","18078","18078","0.11031229794025421","0.11031229794025421","0.11031229794025421","","","","","",""
"17273864","","","","","","","","","","","","","17966","17966","17966","0.13952836394309998","0.13952836394309998","0.13952836394309998"
"17274196","","","","","","","18088","18088","18088","0.14839668571949005","0.14839668571949005","0.14839668571949005","","","","","",""
"17274808","","","","","","","","","","","","","17967","17967","17967","0.14165537059307098","0.14165537059307098","0.14165537059307098"
"17276844","","","","","","","","","","","","","17969","17969","17969","0.19477146863937378","0.19477146863937378","0.19477146863937378"
"17282936","","","","","","","18097","18097","18097","0.08294842392206192","0.08294842392206192","0.08294842392206192","","","","","",""
"17289216","16883","16883","16883","0.08060020953416824","0.08060020953416824","0.08060020953416824","","","","","","","","","","","",""
"17289632","","","","","","","18104","18104","18104","0.13283663988113403","0.13283663988113403","0.13283663988113403","","","","","",""
"17290628","","","","","","","18105","18105","18105","0.06782892346382141","0.06782892346382141","0.06782892346382141","","","","","",""
"17292288","16886","16886","16886","0.10001527518033981","0.10001527518033981","0.10001527518033981","","","","","","","","","","","",""
"17292664","","","","","","","18107","18107","18107","0.06704925000667572","0.06704925000667572","0.06704925000667572","","","","","",""
"17294368","","","","","","","","","","","","","17987","17987","17987","0.1613241732120514","0.1613241732120514","0.1613241732120514"
"17294712","","","","","","","18109","18109","18109","0.10918459296226501","0.10918459296226501","0.10918459296226501","","","","","",""
"17295392","","","","","","","","","","","","","17988","17988","17988","0.151543527841568","0.151543527841568","0.151543527841568"
"17297416","","","","","","","","","","","","","17990","17990","17990","0.16470317542552948","0.16470317542552948","0.16470317542552948"
"17299648","","","","","","","18114","18114","18114","0.17902621626853943","0.17902621626853943","0.17902621626853943","","","","","",""
"17302332","","","","","","","","","","","","","17995","17995","17995","0.12079081684350967","0.12079081684350967","0.12079081684350967"
"17303344","","","","","","","","","","","","","17996","17996","17996","0.1383344531059265","0.1383344531059265","0.1383344531059265"
"17303552","16897","16897","16897","0.06010846048593521","0.06010846048593521","0.06010846048593521","","","","","","","","","","","",""
"17305572","","","","","","","18120","18120","18120","0.12860016524791718","0.12860016524791718","0.12860016524791718","","","","","",""
"17306576","","","","","","","18121","18121","18121","0.0969717800617218","0.0969717800617218","0.0969717800617218","","","","","",""
"17306944","","","","","","","","","","","","","18000","18000","18000","0.1502508521080017","0.1502508521080017","0.1502508521080017"
"17307592","","","","","","","18122","18122","18122","0.0673617497086525","0.0673617497086525","0.0673617497086525","","","","","",""
"17307648","16901","16901","16901","0.07588517665863037","0.07588517665863037","0.07588517665863037","","","","","","","","","","","",""
"17309868","","","","","","","","","","","","","18003","18003","18003","0.12804237008094788","0.12804237008094788","0.12804237008094788"
"17312772","","","","","","","","","","","","","18006","18006","18006","0.16349397599697113","0.16349397599697113","0.16349397599697113"
"17316400","","","","","","","","","","","","","18010","18010","18010","0.12515710294246674","0.12515710294246674","0.12515710294246674"
"17317332","","","","","","","","","","","","","18011","18011","18011","0.17554792761802673","0.17554792761802673","0.17554792761802673"
"17317888","16911","16911","16911","0.10626174509525299","0.10626174509525299","0.10626174509525299","","","","","","","","","","","",""
"17319452","","","","","","","18134","18134","18134","0.08962500840425491","0.08962500840425491","0.08962500840425491","","","","","",""
"17321400","","","","","","","18136","18136","18136","0.1515154242515564","0.1515154242515564","0.1515154242515564","","","","","",""
"17324180","","","","","","","","","","","","","18018","18018","18018","0.19334839284420013","0.19334839284420013","0.19334839284420013"
"17324388","","","","","","","18139","18139","18139","0.11895610392093658","0.11895610392093658","0.11895610392093658","","","","","",""
"17325184","","","","","","","","","","","","","18019","18019","18019","0.10866478085517883","0.10866478085517883","0.10866478085517883"
"17329972","","","","","","","18145","18145","18145","0.20192916691303253","0.20192916691303253","0.20192916691303253","","","","","",""
"17330244","","","","","","","","","","","","","18024","18024","18024","0.19907146692276","0.19907146692276","0.19907146692276"
"17331268","","","","","","","","","","","","","18025","18025","18025","0.18053016066551208","0.18053016066551208","0.18053016066551208"
"17332992","","","","","","","18148","18148","18148","0.11292910575866699","0.11292910575866699","0.11292910575866699","","","","","",""
"17334992","","","","","","","18150","18150","18150","0.11284320056438446","0.11284320056438446","0.11284320056438446","","","","","",""
"17337836","","","","","","","18153","18153","18153","0.17969682812690735","0.17969682812690735","0.17969682812690735","","","","","",""
"17348480","","","","","","","","","","","","","18043","18043","18043","0.1114119365811348","0.1114119365811348","0.1114119365811348"
"17350668","","","","","","","18166","18166","18166","0.15061330795288086","0.15061330795288086","0.15061330795288086","","","","","",""
"17351372","","","","","","","","","","","","","18046","18046","18046","0.19433920085430145","0.19433920085430145","0.19433920085430145"
"17354180","","","","","","","","","","","","","18049","18049","18049","0.13760489225387573","0.13760489225387573","0.13760489225387573"
"17355196","","","","","","","","","","","","","18050","18050","18050","0.20928213000297546","0.20928213000297546","0.20928213000297546"
"17355492","","","","","","","18171","18171","18171","0.18418830633163452","0.18418830633163452","0.18418830633163452","","","","","",""
"17357504","","","","","","","18173","18173","18173","0.1400505006313324","0.1400505006313324","0.1400505006313324","","","","","",""
"17363544","","","","","","","18179","18179","18179","0.11686334013938904","0.11686334013938904","0.11686334013938904","","","","","",""
"17364520","","","","","","","18180","18180","18180","0.0865161269903183","0.0865161269903183","0.0865161269903183","","","","","",""
"17365544","","","","","","","18181","18181","18181","0.08315903693437576","0.08315903693437576","0.08315903693437576","","","","","",""
"17366564","","","","","","","18182","18182","18182","0.12367676943540573","0.12367676943540573","0.12367676943540573","","","","","",""
"17367232","","","","","","","","","","","","","18062","18062","18062","0.10725593566894531","0.10725593566894531","0.10725593566894531"
"17369120","","","","","","","","","","","","","18064","18064","18064","0.2760332226753235","0.2760332226753235","0.2760332226753235"
"17369568","","","","","","","18185","18185","18185","0.14387908577919006","0.14387908577919006","0.14387908577919006","","","","","",""
"17370088","","","","","","","","","","","","","18065","18065","18065","0.21594420075416565","0.21594420075416565","0.21594420075416565"
"17372136","","","","","","","","","","","","","18067","18067","18067","0.18880867958068848","0.18880867958068848","0.18880867958068848"
"17374208","16966","16966","16966","0.0858922228217125","0.0858922228217125","0.0858922228217125","","","","","","","","","","","",""
"17374956","","","","","","","","","","","","","18070","18070","18070","0.13691255450248718","0.13691255450248718","0.13691255450248718"
"17376632","","","","","","","18192","18192","18192","0.13963720202445984","0.13963720202445984","0.13963720202445984","","","","","",""
"17377280","16969","16969","16969","0.07729758322238922","0.07729758322238922","0.07729758322238922","","","","","","","","","","","",""
"17377884","","","","","","","","","","","","","18073","18073","18073","0.19818401336669922","0.19818401336669922","0.19818401336669922"
"17379568","","","","","","","18195","18195","18195","0.05102640390396118","0.05102640390396118","0.05102640390396118","","","","","",""
"17381612","","","","","","","18197","18197","18197","0.03658860921859741","0.03658860921859741","0.03658860921859741","","","","","",""
"17382808","","","","","","","","","","","","","18078","18078","18078","0.2137129157781601","0.2137129157781601","0.2137129157781601"
"17383832","","","","","","","","","","","","","18079","18079","18079","0.19105719029903412","0.19105719029903412","0.19105719029903412"
"17387520","16979","16979","16979","0.1322983205318451","0.1322983205318451","0.1322983205318451","","","","","","","","","","","",""
"17389148","","","","","","","18205","18205","18205","0.14284363389015198","0.14284363389015198","0.14284363389015198","","","","","",""
"17392640","16984","16984","16984","0.09721024334430695","0.09721024334430695","0.09721024334430695","","","","","","","","","","","",""
"17392744","","","","","","","","","","","","","18088","18088","18088","0.14157068729400635","0.14157068729400635","0.14157068729400635"
"17395248","","","","","","","18211","18211","18211","0.1258869767189026","0.1258869767189026","0.1258869767189026","","","","","",""
"17395712","16987","16987","16987","0.10385911166667938","0.10385911166667938","0.10385911166667938","","","","","","","","","","","",""
"17398976","","","","","","","18215","18215","18215","0.13029462099075317","0.13029462099075317","0.13029462099075317","","","","","",""
"17401568","","","","","","","","","","","","","18097","18097","18097","0.17524103820323944","0.17524103820323944","0.17524103820323944"
"17405952","16997","16997","16997","0.08011341840028763","0.08011341840028763","0.08011341840028763","","","","","","","","","","","",""
"17406920","","","","","","","18223","18223","18223","0.09456886351108551","0.09456886351108551","0.09456886351108551","","","","","",""
"17408256","","","","","","","","","","","","","18104","18104","18104","0.17735427618026733","0.17735427618026733","0.17735427618026733"
"17409184","","","","","","","","","","","","","18105","18105","18105","0.10354858636856079","0.10354858636856079","0.10354858636856079"
"17411204","","","","","","","","","","","","","18107","18107","18107","0.1109597384929657","0.1109597384929657","0.1109597384929657"
"17413200","","","","","","","","","","","","","18109","18109","18109","0.15912435948848724","0.15912435948848724","0.15912435948848724"
"17415948","","","","","","","18232","18232","18232","0.06701403856277466","0.06701403856277466","0.06701403856277466","","","","","",""
"17418180","","","","","","","","","","","","","18114","18114","18114","0.11877965182065964","0.11877965182065964","0.11877965182065964"
"17421940","","","","","","","18238","18238","18238","0.15923486649990082","0.15923486649990082","0.15923486649990082","","","","","",""
"17422336","17013","17013","17013","0.14598903059959412","0.14598903059959412","0.14598903059959412","","","","","","","","","","","",""
"17423964","","","","","","","18240","18240","18240","0.17433443665504456","0.17433443665504456","0.17433443665504456","","","","","",""
"17424104","","","","","","","","","","","","","18120","18120","18120","0.13268661499023438","0.13268661499023438","0.13268661499023438"
"17424384","17015","17015","17015","0.08042750507593155","0.08042750507593155","0.08042750507593155","","","","","","","","","","","",""
"17424972","","","","","","","18241","18241","18241","0.14726954698562622","0.14726954698562622","0.14726954698562622","","","","","",""
"17425032","","","","","","","","","","","","","18121","18121","18121","0.1311115026473999","0.1311115026473999","0.1311115026473999"
"17425948","","","","","","","","","","","","","18122","18122","18122","0.2165224701166153","0.2165224701166153","0.2165224701166153"
"17427012","","","","","","","18243","18243","18243","0.15932424366474152","0.15932424366474152","0.15932424366474152","","","","","",""
"17427456","17018","17018","17018","0.06784798204898834","0.06784798204898834","0.06784798204898834","","","","","","","","","","","",""
"17430528","17021","17021","17021","0.0829392522573471","0.0829392522573471","0.0829392522573471","","","","","","","","","","","",""
"17437900","","","","","","","","","","","","","18134","18134","18134","0.19292514026165009","0.19292514026165009","0.19292514026165009"
"17439784","","","","","","","","","","","","","18136","18136","18136","0.16931065917015076","0.16931065917015076","0.16931065917015076"
"17440740","","","","","","","","","","","","","18137","18137","18137","0.1227140873670578","0.1227140873670578","0.1227140873670578"
"17442548","","","","","","","","","","","","","18139","18139","18139","0.07463014125823975","0.07463014125823975","0.07463014125823975"
"17444008","","","","","","","18260","18260","18260","0.09308896958827972","0.09308896958827972","0.09308896958827972","","","","","",""
"17446912","17037","17037","17037","0.09643231332302094","0.09643231332302094","0.09643231332302094","","","","","","","","","","","",""
"17448412","","","","","","","","","","","","","18145","18145","18145","0.1785368174314499","0.1785368174314499","0.1785368174314499"
"17451364","","","","","","","","","","","","","18148","18148","18148","0.1932544857263565","0.1932544857263565","0.1932544857263565"
"17453284","","","","","","","","","","","","","18150","18150","18150","0.203297421336174","0.203297421336174","0.203297421336174"
"17454004","","","","","","","18270","18270","18270","0.08541709929704666","0.08541709929704666","0.08541709929704666","","","","","",""
"17454080","17044","17044","17044","0.12481751292943954","0.12481751292943954","0.12481751292943954","","","","","","","","","","","",""
"17455028","","","","","","","18271","18271","18271","0.1099684089422226","0.1099684089422226","0.1099684089422226","","","","","",""
"17456128","17046","17046","17046","0.04770353436470032","0.04770353436470032","0.04770353436470032","","","","","","","","","","","",""
"17456312","","","","","","","","","","","","","18153","18153","18153","0.10610261559486389","0.10610261559486389","0.10610261559486389"
"17458176","17048","17048","17048","0.1049395501613617","0.1049395501613617","0.1049395501613617","","","","","","","","","","","",""
"17460224","17050","17050","17050","0.14504319429397583","0.14504319429397583","0.14504319429397583","","","","","","","","","","","",""
"17465020","","","","","","","18281","18281","18281","0.09099066257476807","0.09099066257476807","0.09099066257476807","","","","","",""
"17468932","","","","","","","","","","","","","18166","18166","18166","0.16054058074951172","0.16054058074951172","0.16054058074951172"
"17473076","","","","","","","18289","18289","18289","0.11418706178665161","0.11418706178665161","0.11418706178665161","","","","","",""
"17473692","","","","","","","","","","","","","18171","18171","18171","0.19656044244766235","0.19656044244766235","0.19656044244766235"
"17475680","","","","","","","","","","","","","18173","18173","18173","0.16922661662101746","0.16922661662101746","0.16922661662101746"
"17478656","17068","17068","17068","0.10488031804561615","0.10488031804561615","0.10488031804561615","","","","","","","","","","","",""
"17479080","","","","","","","18295","18295","18295","0.143427312374115","0.143427312374115","0.143427312374115","","","","","",""
"17480076","","","","","","","18296","18296","18296","0.13665862381458282","0.13665862381458282","0.13665862381458282","","","","","",""
"17481564","","","","","","","","","","","","","18179","18179","18179","0.20500509440898895","0.20500509440898895","0.20500509440898895"
"17482564","","","","","","","","","","","","","18180","18180","18180","0.10969027876853943","0.10969027876853943","0.10969027876853943"
"17482752","17072","17072","17072","0.13010190427303314","0.13010190427303314","0.13010190427303314","","","","","","","","","","","",""
"17482856","","","","","","","18299","18299","18299","0.1093900203704834","0.1093900203704834","0.1093900203704834","","","","","",""
"17483588","","","","","","","","","","","","","18181","18181","18181","0.1987709105014801","0.1987709105014801","0.1987709105014801"
"17484524","","","","","","","","","","","","","18182","18182","18182","0.19088959693908691","0.19088959693908691","0.19088959693908691"
"17485824","17075","17075","17075","0.09348232299089432","0.09348232299089432","0.09348232299089432","","","","","","","","","","","",""
"17487420","","","","","","","","","","","","","18185","18185","18185","0.17089983820915222","0.17089983820915222","0.17089983820915222"
"17487788","","","","","","","18304","18304","18304","0.10170537233352661","0.10170537233352661","0.10170537233352661","","","","","",""
"17488896","17078","17078","17078","0.08975332975387573","0.08975332975387573","0.08975332975387573","","","","","","","","","","","",""
"17491784","","","","","","","18308","18308","18308","0.1260843425989151","0.1260843425989151","0.1260843425989151","","","","","",""
"17494256","","","","","","","","","","","","","18192","18192","18192","0.14245575666427612","0.14245575666427612","0.14245575666427612"
"17497308","","","","","","","","","","","","","18195","18195","18195","0.17599493265151978","0.17599493265151978","0.17599493265151978"
"17497820","","","","","","","18314","18314","18314","0.06838781386613846","0.06838781386613846","0.06838781386613846","","","","","",""
"17499320","","","","","","","","","","","","","18197","18197","18197","0.21439588069915771","0.21439588069915771","0.21439588069915771"
"17506768","","","","","","","","","","","","","18205","18205","18205","0.15523552894592285","0.15523552894592285","0.15523552894592285"
"17507328","17096","17096","17096","0.07865314185619354","0.07865314185619354","0.07865314185619354","","","","","","","","","","","",""
"17512140","","","","","","","18329","18329","18329","0.11007151007652283","0.11007151007652283","0.11007151007652283","","","","","",""
"17512460","","","","","","","","","","","","","18211","18211","18211","0.19566144049167633","0.19566144049167633","0.19566144049167633"
"17514496","17103","17103","17103","0.10468149930238724","0.10468149930238724","0.10468149930238724","","","","","","","","","","","",""
"17516508","","","","","","","","","","","","","18215","18215","18215","0.186070054769516","0.186070054769516","0.186070054769516"
"17517980","","","","","","","18335","18335","18335","0.16022932529449463","0.16022932529449463","0.16022932529449463","","","","","",""
"17519616","17108","17108","17108","0.15477561950683594","0.15477561950683594","0.15477561950683594","","","","","","","","","","","",""
"17524608","","","","","","","","","","","","","18223","18223","18223","0.19808407127857208","0.19808407127857208","0.19808407127857208"
"17527672","","","","","","","","","","","","","18226","18226","18226","0.22047266364097595","0.22047266364097595","0.22047266364097595"
"17529796","","","","","","","18347","18347","18347","0.127782940864563","0.127782940864563","0.127782940864563","","","","","",""
"17530880","17119","17119","17119","0.12748552858829498","0.12748552858829498","0.12748552858829498","","","","","","","","","","","",""
"17531904","17120","17120","17120","0.06654976308345795","0.06654976308345795","0.06654976308345795","","","","","","","","","","","",""
"17533588","","","","","","","","","","","","","18232","18232","18232","0.12159017473459244","0.12159017473459244","0.12159017473459244"
"17533952","17122","17122","17122","0.09600025415420532","0.09600025415420532","0.09600025415420532","","","","","","","","","","","",""
"17536720","","","","","","","18354","18354","18354","0.12322129309177399","0.12322129309177399","0.12322129309177399","","","","","",""
"17537604","","","","","","","18355","18355","18355","0.10554508864879608","0.10554508864879608","0.10554508864879608","","","","","",""
"17538468","","","","","","","","","","","","","18237","18237","18237","0.16237571835517883","0.16237571835517883","0.16237571835517883"
"17539420","","","","","","","","","","","","","18238","18238","18238","0.170179545879364","0.170179545879364","0.170179545879364"
"17541264","","","","","","","18359","18359","18359","0.10021466761827469","0.10021466761827469","0.10021466761827469","","","","","",""
"17541408","","","","","","","","","","","","","18240","18240","18240","0.10988767445087433","0.10988767445087433","0.10988767445087433"
"17542188","","","","","","","18360","18360","18360","0.07758151739835739","0.07758151739835739","0.07758151739835739","","","","","",""
"17542356","","","","","","","","","","","","","18241","18241","18241","0.16711989045143127","0.16711989045143127","0.16711989045143127"
"17544296","","","","","","","","","","","","","18243","18243","18243","0.08934501558542252","0.08934501558542252","0.08934501558542252"
